cgpa,iq,communication,internship,placed
6.5,97,8,0,1
8.9,90,5,0,1
7.9,93,8,0,0
9.9,100,7,0,1
7.5,132,8,0,1
5.8,135,5,1,1
9.8,141,8,0,1
6.7,99,4,1,0
9.3,86,8,1,1
5.5,140,6,0,1
8.9,130,6,1,1
6.9,139,5,0,1
6.9,112,10,0,0
8.7,97,9,0,0
8.6,119,8,1,1
6.3,118,7,0,1
10.0,104,10,0,1
6.8,97,8,0,1
8.4,113,9,1,1
7.8,111,7,0,1
5.2,88,6,0,0
5.3,141,5,0,1
5.6,108,6,1,1
5.2,137,9,1,1
7.5,134,8,0,1
8.1,108,5,0,1
5.2,103,5,0,0
9.2,102,5,0,1
6.0,137,5,0,1
7.7,123,5,0,0
8.0,107,8,0,1
5.3,128,7,0,0
7.5,136,10,0,1
9.5,144,5,1,1
5.0,122,6,1,1
5.4,119,5,0,1
6.1,131,5,0,1
5.9,138,9,0,1
7.3,111,9,1,1
7.7,90,5,0,0
8.0,137,8,1,1
6.1,106,10,0,1
8.3,127,8,1,1
6.1,135,6,0,1
5.5,130,8,0,1
7.7,98,10,0,1
5.4,126,4,1,1
8.0,117,6,1,0
9.4,89,6,1,1
5.2,93,8,0,0
9.3,100,5,1,1
9.3,84,9,0,1
7.2,125,5,1,1
8.8,87,6,1,1
8.9,101,8,1,1
8.1,130,6,0,1
7.6,112,6,1,1
8.5,123,8,0,1
6.8,138,4,1,1
9.4,137,8,0,1
7.8,130,4,0,0
6.3,126,6,1,1
9.7,106,9,1,1
7.9,90,7,0,1
9.1,102,7,1,1
9.8,94,9,1,1
6.5,130,8,1,1
5.2,121,9,0,1
9.7,106,6,0,1
6.4,93,4,0,0
5.9,107,6,0,1
7.8,111,9,0,1
9.5,128,9,1,1
5.4,93,9,1,0
8.1,120,6,1,1
7.0,136,8,1,1
5.1,113,7,1,1
6.4,125,9,0,1
9.5,95,5,1,1
6.9,132,9,0,1
7.9,112,6,1,1
9.3,136,6,1,1
6.4,145,6,1,1
9.5,82,6,1,0
7.0,126,9,0,1
7.3,89,5,0,0
6.4,92,8,0,0
5.3,112,6,0,1
6.4,101,8,0,1
5.6,110,5,1,1
9.6,117,5,1,1
9.0,140,10,0,1
9.5,103,9,0,1
9.1,91,5,1,1
10.0,118,10,1,1
6.1,123,6,0,0
8.4,133,6,1,1
6.6,145,4,1,1
9.3,82,7,1,1
5.3,145,6,0,1
7.8,95,8,0,0
5.6,145,8,0,1
8.8,90,8,0,1
8.3,112,9,0,1
8.5,145,4,0,0
9.4,134,6,1,1
8.3,116,8,0,0
5.2,118,5,0,0
9.4,107,8,1,0
9.6,118,10,1,1
5.4,127,8,0,0
6.1,128,9,1,1
7.9,119,9,0,1
6.1,84,9,1,1
6.1,101,8,0,0
8.6,81,7,0,1
5.5,128,8,0,1
7.5,105,10,0,1
5.3,139,5,1,1
8.0,108,9,0,1
9.3,104,5,0,0
6.4,142,7,0,1
5.1,139,5,1,1
6.3,133,10,0,1
5.3,97,6,1,1
6.1,95,6,0,1
5.5,138,9,1,1
8.3,127,9,1,1
8.0,86,6,1,1
8.6,92,5,0,0
9.1,111,6,1,1
6.6,94,9,1,1
8.7,133,6,0,0
8.8,144,9,0,1
8.8,104,9,0,1
8.1,105,8,1,1
7.7,99,8,0,1
7.2,139,9,0,1
9.2,125,5,0,1
8.7,128,7,1,1
5.0,134,6,0,0
9.4,128,5,1,1
6.2,108,10,0,0
6.3,111,8,0,0
6.4,143,6,1,1
6.6,138,5,1,0
5.3,86,10,0,0
9.8,115,7,1,1
8.2,84,7,0,1
10.0,97,9,1,1
8.9,127,9,0,1
9.9,113,6,1,1
9.7,142,8,1,1
7.7,98,7,0,0
5.7,99,8,1,1
9.7,116,8,1,1
7.0,139,6,0,1
5.3,136,6,0,1
9.3,87,9,0,1
6.2,140,8,0,0
6.6,138,9,0,0
9.2,93,9,1,1
9.7,88,5,0,1
6.5,103,4,0,1
9.7,140,4,0,1
5.3,125,6,0,0
9.1,95,5,0,0
7.3,102,6,1,0
9.9,115,4,0,1
8.7,133,8,0,1
9.8,136,7,1,1
6.9,131,4,1,1
6.6,88,7,1,0
6.9,95,7,0,0
5.9,132,6,1,1
7.5,117,6,1,1
8.3,115,7,0,1
9.6,143,9,0,1
5.2,139,5,0,0
7.1,96,6,0,1
8.5,96,9,1,1
6.6,103,5,0,0
5.9,124,5,1,1
7.1,106,6,0,0
7.1,94,4,1,1
6.1,89,6,0,0
9.6,127,6,0,1
8.2,131,7,1,1
6.7,86,7,1,0
9.2,106,9,0,1
6.8,114,7,1,1
8.2,100,9,0,1
9.2,118,6,0,0
7.3,115,4,1,0
5.5,135,6,0,1
9.6,99,8,1,1
10.0,103,8,1,1
7.5,108,9,0,1
5.4,119,8,1,1
5.0,124,8,1,1
8.7,138,5,0,1
8.1,135,6,1,1
8.4,100,5,0,0
6.5,119,8,0,1
5.1,85,9,0,1
8.8,145,8,0,1
7.5,102,9,1,1
7.3,96,4,1,1
5.3,82,5,0,0
8.5,100,4,1,1
5.0,87,5,0,0
6.5,137,9,1,1
6.2,107,10,1,1
5.8,125,5,0,1
9.0,118,6,0,1
9.9,101,10,0,1
9.6,110,9,1,1
9.3,137,7,0,1
5.8,143,9,0,1
6.2,86,6,1,0
8.3,119,6,1,1
9.7,81,8,0,1
8.3,91,5,1,1
8.7,115,8,0,1
5.8,99,10,0,1
7.4,145,7,1,1
9.4,83,4,0,1
6.7,135,5,1,1
5.6,117,6,1,1
7.3,99,8,0,0
5.3,112,9,0,1
9.2,82,4,0,0
5.4,111,9,0,0
9.3,94,7,0,1
5.3,142,8,0,1
5.0,85,5,0,0
6.0,119,7,0,1
8.0,144,6,1,1
5.1,82,7,0,0
8.2,139,5,1,1
6.4,142,7,1,1
9.7,131,6,0,1
9.5,105,9,0,1
7.5,89,8,1,1
9.4,84,4,0,0
6.5,98,7,0,0
8.9,143,7,1,1
8.7,136,7,0,1
6.6,102,9,1,1
9.3,90,8,0,1
9.1,121,7,1,1
7.2,100,7,0,0
9.8,140,10,0,1
5.7,94,10,1,1
9.0,120,8,1,1
5.7,103,6,1,1
8.1,138,8,1,1
7.4,133,10,1,1
5.5,83,5,0,1
5.1,143,10,0,0
5.5,95,6,1,1
8.1,142,9,0,1
8.7,116,10,1,1
8.1,142,9,1,1
6.5,135,9,0,1
9.7,111,9,0,1
9.1,96,5,0,1
8.7,90,7,0,1
7.5,108,9,1,1
5.0,118,5,0,0
9.9,98,10,1,1
8.6,136,7,0,1
5.2,126,9,1,1
7.7,84,8,0,0
6.0,87,4,0,0
7.8,100,5,0,1
7.0,104,10,1,1
5.1,131,5,0,0
8.9,133,8,0,1
9.7,112,6,0,1
6.7,115,7,0,1
5.3,136,5,1,1
6.6,133,10,1,1
7.8,139,6,0,1
7.0,137,5,1,1
9.8,135,9,0,1
10.0,98,8,1,1
6.2,145,8,1,0
8.3,105,7,1,1
7.3,100,10,0,1
6.5,105,6,1,1
8.5,112,7,0,1
5.5,123,5,0,0
9.2,87,9,1,1
8.4,80,6,1,1
10.0,85,5,0,1
9.2,87,10,0,1
5.6,83,5,0,1
7.8,121,8,1,1
9.5,100,9,1,1
5.9,88,6,1,1
8.9,137,7,0,1
7.1,93,5,1,1
8.2,119,6,1,1
9.0,109,8,1,1
9.1,109,9,1,1
7.9,80,5,0,0
8.8,143,5,1,1
9.3,86,7,0,1
8.6,113,7,0,1
7.2,129,9,0,1
5.7,83,8,1,0
6.1,125,7,1,1
6.8,85,8,0,0
8.9,104,9,1,1
8.1,129,4,0,1
8.9,139,10,0,1
7.9,128,10,1,1
8.0,119,9,0,1
8.9,122,6,1,1
6.7,117,5,0,1
5.7,115,10,0,1
9.2,83,4,1,1
8.4,109,8,1,1
5.7,140,5,0,1
5.5,128,9,0,0
5.8,85,7,0,0
8.8,93,6,0,1
6.8,100,9,1,1
7.1,86,9,1,1
6.6,112,9,0,1
6.2,105,9,0,1
6.9,114,4,1,1
7.9,107,5,0,1
6.9,129,10,1,1
9.5,139,5,0,1
7.7,88,9,1,0
5.4,102,10,1,1
7.1,133,7,0,0
5.1,82,5,0,0
9.3,95,9,1,1
5.9,127,7,1,1
7.8,135,4,1,1
8.7,97,5,1,1
8.5,142,10,1,1
8.6,93,4,0,1
9.6,124,7,1,1
7.7,139,5,1,1
8.2,126,6,0,0
5.6,95,9,0,0
7.1,104,7,0,0
6.8,125,6,0,1
8.6,101,4,1,1
8.6,115,5,1,1
5.4,145,6,0,1
9.3,118,7,1,1
6.7,125,4,0,1
5.4,112,8,0,0
8.0,99,5,0,0
9.1,95,7,0,0
8.2,134,7,0,1
7.4,136,5,0,1
7.1,115,5,1,1
8.5,129,7,0,1
7.6,90,8,0,1
5.2,117,9,1,1
5.3,139,7,1,1
7.0,96,6,1,1
6.2,109,9,1,1
6.5,93,7,1,0
6.5,126,9,1,1
7.9,135,6,0,1
5.6,108,8,0,1
7.4,141,4,1,0
7.8,105,9,1,1
7.2,105,9,1,1
9.7,105,7,1,1
5.8,100,7,0,0
6.8,123,7,0,1
6.3,80,7,0,0
9.7,142,7,1,1
5.1,109,9,1,0
9.1,83,5,0,1
8.2,132,8,0,1
7.6,144,9,1,1
9.3,135,7,0,1
9.8,119,6,1,1
5.3,145,6,0,1
5.8,100,9,0,0
5.7,115,9,0,0
5.3,93,5,0,0
6.9,142,9,1,1
6.4,125,7,0,1
8.2,143,9,1,1
9.9,122,9,0,1
7.0,94,10,0,0
5.2,96,9,1,1
5.0,100,9,0,1
6.0,116,6,0,0
7.9,145,6,0,1
7.0,108,8,1,1
7.5,83,9,0,1
6.0,123,10,0,0
8.6,131,7,1,1
7.2,121,6,0,0
9.4,111,9,0,1
6.8,80,7,1,0
6.8,142,6,1,1
5.2,130,6,0,0
9.0,106,5,1,1
7.0,107,7,0,1
8.1,91,5,0,1
6.5,83,9,0,1
9.8,103,8,1,1
9.6,137,5,1,1
10.0,123,9,1,1
9.8,109,5,1,1
6.0,103,10,0,0
6.0,126,8,1,1
8.8,128,9,0,1
6.0,125,8,1,1
7.1,133,8,1,1
5.9,103,7,0,1
6.5,98,7,1,0
9.5,126,4,1,1
6.8,104,6,0,1
7.3,86,9,0,1
7.0,123,10,0,0
5.6,106,7,0,0
7.8,112,5,1,1
5.5,128,7,1,1
5.1,106,5,0,0
7.1,140,6,0,1
8.5,119,7,1,1
9.0,81,7,1,1
7.2,110,7,1,1
7.6,96,8,1,1
9.6,136,9,0,1
7.3,144,5,0,0
9.5,133,8,0,1
8.5,80,7,1,1
9.9,133,9,1,1
9.4,99,7,0,1
6.6,81,5,0,0
8.5,130,7,1,1
7.1,116,5,0,0
7.4,91,5,0,0
5.4,109,5,0,1
7.8,126,6,0,1
5.9,98,5,0,0
5.6,128,5,1,0
7.5,132,6,0,1
5.1,116,6,0,0
10.0,124,9,1,1
8.8,110,6,0,1
5.9,136,4,1,0
8.0,120,5,0,0
7.8,113,6,1,1
5.2,90,4,0,1
6.7,110,10,0,1
5.0,96,10,0,1
7.2,142,6,1,1
7.2,136,5,1,1
8.4,111,4,0,1
5.3,124,6,0,1
9.0,140,4,1,1
9.2,128,9,0,1
6.7,99,8,1,1
7.7,139,4,1,1
7.3,93,8,0,0
7.1,101,7,1,1
9.0,124,10,1,1
7.1,98,10,0,0
9.8,107,10,0,1
5.9,88,5,0,0
7.1,107,7,1,1
7.8,115,9,1,1
9.3,108,6,0,1
7.5,120,7,0,1
9.8,90,8,0,1
6.7,129,7,0,1
9.7,110,6,1,1
8.8,131,8,0,1
8.9,98,7,0,0
6.8,86,4,0,0
8.6,122,9,0,1
9.4,134,6,1,1
6.8,93,7,0,1
5.5,103,7,0,1
9.6,86,8,0,1
7.4,125,6,0,1
9.4,89,4,0,1
5.1,102,9,0,0
7.4,83,6,1,1
8.4,126,6,0,1
8.1,133,9,0,1
6.0,85,9,0,1
9.7,99,6,1,1
7.6,130,10,0,1
9.2,111,8,1,1
5.4,108,6,0,0
6.5,112,6,1,1
7.5,105,8,1,1
7.3,112,9,0,0
7.6,80,5,0,1
9.0,142,10,0,1
6.4,141,6,1,1
5.8,116,9,1,1
6.6,102,6,0,0
6.8,140,8,0,1
5.1,129,6,0,1
9.8,93,4,1,1
8.4,134,8,1,1
7.7,113,7,0,1
7.5,101,9,0,1
8.9,116,9,1,1
7.3,84,6,1,0
6.4,130,5,0,1
7.0,115,4,0,0
7.6,88,6,0,1
9.2,95,10,1,1
7.0,114,4,0,1
8.0,92,7,1,1
5.8,130,7,0,1
9.0,130,6,0,1
5.4,109,5,0,0
6.6,143,9,1,1
8.8,88,9,0,1
9.4,115,7,0,0
8.5,128,9,0,1
8.3,116,7,0,1
7.9,84,8,1,1
7.6,144,10,0,1
8.7,118,7,1,1
8.7,127,5,1,1
6.2,141,8,1,1
6.0,109,7,0,0
6.6,108,8,0,1
7.5,84,7,0,1
9.2,118,9,0,1
5.5,80,9,0,0
9.5,109,5,0,1
6.8,115,5,0,1
8.1,141,5,1,1
6.0,126,6,0,1
5.6,95,7,0,0
5.4,122,10,1,1
7.8,81,9,0,1
7.5,83,5,0,0
9.5,126,6,0,1
8.0,127,6,0,1
9.5,136,8,1,1
6.5,141,8,1,1
6.8,96,5,0,1
7.7,113,8,0,0
9.4,93,10,1,1
7.7,125,10,1,1
9.2,84,8,1,1
5.4,138,7,0,1
6.1,99,6,1,1
7.1,98,6,0,1
5.8,91,5,0,0
8.4,93,8,0,1
9.2,129,9,0,1
6.1,116,9,1,1
8.9,105,6,0,1
7.6,136,8,0,1
5.2,138,4,1,1
7.7,122,9,0,1
8.6,90,4,1,0
9.8,101,8,0,1
6.1,130,5,1,1
9.6,132,7,0,1
9.9,144,9,0,1
7.1,88,6,0,0
5.2,133,5,0,0
6.1,140,4,0,1
9.8,103,5,1,1
8.1,139,7,0,1
9.7,113,9,1,1
8.9,121,7,0,1
6.2,118,7,1,1
7.0,96,7,1,1
9.5,117,7,0,1
7.6,82,9,1,1
8.6,93,7,1,1
5.9,97,7,0,0
5.5,116,9,1,1
7.1,134,10,0,1
6.6,89,5,1,1
7.7,127,5,0,1
9.5,142,5,0,1
9.6,100,10,0,0
5.4,128,8,0,1
6.3,85,5,0,0
8.8,141,7,1,1
9.4,101,5,1,1
5.6,140,8,0,1
6.6,133,10,0,1
5.8,132,8,0,0
7.2,139,8,1,1
9.5,118,4,0,1
7.1,116,8,0,1
6.0,145,5,1,0
8.0,121,10,1,1
8.4,137,9,0,1
7.5,90,9,0,0
7.5,118,7,1,1
6.2,124,6,1,1
7.6,98,5,0,1
7.1,89,8,1,1
5.5,117,10,0,1
5.1,83,4,0,0
9.2,138,7,1,1
5.4,124,7,0,1
7.9,115,9,0,1
6.9,143,6,0,1
6.7,110,10,1,1
6.1,97,8,1,1
5.9,135,6,0,1
9.3,122,9,0,1
5.4,138,6,1,1
6.1,86,5,0,1
7.5,134,5,0,1
8.4,118,5,0,1
9.4,81,9,0,1
7.6,114,4,0,0
8.9,141,9,0,1
7.2,134,8,0,1
9.4,97,5,1,1
7.0,125,10,1,1
8.4,80,5,0,0
8.2,132,8,1,1
6.3,90,8,0,1
5.3,140,8,0,0
6.1,94,5,0,0
6.5,119,6,0,0
5.7,85,6,0,1
7.9,133,6,1,1
9.2,125,7,1,1
6.4,100,6,0,0
6.3,95,7,1,0
5.3,91,8,0,1
6.7,106,8,1,1
5.8,96,9,0,0
8.9,90,4,0,0
5.5,141,4,0,0
8.9,93,9,1,1
8.3,125,9,1,1
6.1,106,6,0,0
8.9,129,5,1,1
7.3,81,7,0,1
8.0,81,6,1,0
8.7,136,7,1,1
9.2,141,6,1,1
5.6,130,9,0,1
8.4,86,8,1,1
6.1,81,5,1,0
8.8,127,6,1,1
9.2,102,8,0,1
6.3,142,7,0,0
7.8,96,5,0,0
5.0,124,7,0,1
8.3,122,6,1,0
6.9,129,8,0,0
6.6,145,9,1,1
6.5,115,8,0,0
5.4,82,8,0,1
9.7,117,9,1,1
6.8,98,6,1,1
5.4,110,10,0,1
9.1,126,6,1,1
6.2,92,7,1,1
8.1,99,8,1,1
7.6,96,6,0,1
8.8,81,6,1,1
9.1,111,10,0,1
7.1,145,5,0,1
9.5,81,7,1,1
5.8,121,4,0,0
7.3,87,8,1,1
8.3,81,8,0,1
6.2,88,8,1,1
9.0,113,5,1,1
8.5,105,4,0,1
9.8,131,8,1,1
5.2,83,9,0,0
5.2,103,6,0,0
8.3,118,6,1,1
9.3,123,10,1,1
9.8,100,9,0,1
7.7,132,8,0,1
8.1,119,9,0,1
8.2,138,6,0,1
7.3,109,5,0,1
6.1,107,9,0,1
9.4,126,7,0,1
9.3,125,9,0,1
8.3,83,6,0,1
5.9,141,10,0,1
5.3,87,8,0,1
7.1,80,9,0,0
9.0,127,8,0,1
5.1,108,9,0,1
5.8,112,7,0,1
5.0,110,8,1,0
5.5,103,9,1,1
6.0,123,8,0,0
8.3,116,8,0,1
10.0,134,4,1,1
5.4,135,4,0,0
6.5,82,9,0,1
8.5,135,8,0,0
7.5,106,8,0,1
9.8,91,9,1,1
5.8,139,4,1,1
6.3,93,9,1,1
6.1,113,8,0,0
8.5,131,9,0,1
9.0,114,5,0,1
8.0,135,9,0,1
6.4,103,7,1,1
5.7,132,10,0,0
5.4,81,8,0,0
8.0,130,8,0,1
8.1,119,5,1,1
9.3,129,10,1,1
7.4,127,5,0,1
9.7,120,8,1,1
6.9,101,8,0,1
8.7,83,8,1,1
6.2,114,6,1,1
5.9,93,7,0,0
7.0,128,6,1,1
9.6,82,7,0,1
9.9,124,4,1,1
9.4,142,8,1,1
8.9,136,4,1,1
9.8,139,8,1,1
6.2,96,8,0,1
9.6,131,8,1,1
7.5,94,9,1,1
6.3,85,6,0,0
6.2,118,5,0,1
6.3,90,8,0,0
7.5,90,8,1,1
7.3,137,6,0,0
7.6,120,4,0,1
8.6,85,6,1,1
7.0,139,8,0,1
9.8,111,10,1,1
5.1,114,4,1,1
5.6,145,8,0,1
9.9,121,6,1,1
8.3,123,9,1,1
5.1,120,6,0,1
8.8,106,9,1,1
5.4,119,7,0,0
9.3,101,7,0,1
7.1,140,5,0,1
6.7,90,7,0,0
7.0,140,6,0,1
6.5,115,7,1,1
8.5,112,5,0,0
5.1,81,5,0,1
5.8,101,5,1,1
5.3,125,4,1,1
7.7,135,8,1,1
8.7,83,10,1,1
9.6,87,8,0,1
7.9,115,10,0,1
7.1,132,9,0,0
9.1,134,8,0,1
5.1,91,8,0,1
9.4,82,10,1,1
6.8,102,9,1,1
7.6,95,5,0,0
5.7,144,8,1,1
5.4,138,5,0,1
9.9,134,6,1,1
8.9,125,5,1,1
6.8,91,4,1,1
9.9,141,7,0,1
5.1,108,8,0,1
8.1,132,7,1,1
7.9,98,9,1,1
6.8,134,9,1,1
5.8,142,9,1,1
6.4,144,8,1,1
7.2,133,4,1,1
5.3,111,4,1,1
9.0,116,7,1,1
5.1,132,8,0,0
5.4,137,4,1,1
6.6,116,8,1,1
6.9,136,10,1,1
5.6,105,6,1,1
6.3,99,6,0,0
7.9,95,5,1,1
9.9,102,8,1,1
7.5,87,6,0,1
7.3,103,8,1,1
9.2,128,4,1,1
6.0,101,6,1,1
5.8,85,9,0,0
7.2,109,6,0,0
7.3,95,8,0,1
6.3,133,5,0,1
9.4,115,5,0,1
9.6,82,5,0,1
5.6,131,6,0,0
6.4,114,8,0,1
9.6,91,8,0,1
10.0,124,8,1,1
6.4,134,6,0,1
5.5,136,8,0,1
5.2,134,5,0,0
9.1,108,8,0,1
7.1,86,7,0,0
6.0,122,6,0,1
9.2,99,6,0,1
7.5,107,10,0,1
9.1,94,7,1,1
9.9,135,8,1,1
8.2,129,10,1,1
9.6,128,5,0,1
9.7,100,6,0,1
6.2,130,7,0,1
5.8,138,6,0,1
9.3,127,6,1,1
7.8,88,7,1,1
8.0,141,7,1,1
6.8,106,9,0,0
9.7,116,7,0,1
5.6,85,10,0,1
6.1,98,9,0,1
8.0,95,8,0,1
5.6,135,7,1,1
7.2,113,5,0,0
8.6,142,5,1,1
8.2,105,7,1,1
5.6,122,5,1,0
7.4,136,7,0,1
6.6,132,5,0,0
8.3,88,4,1,1
6.5,106,8,0,0
8.8,121,9,1,1
5.6,84,10,0,1
6.9,108,7,0,1
8.4,114,6,0,0
6.7,113,5,1,1
5.2,87,7,0,1
6.5,81,4,1,0
8.0,133,8,1,1
6.8,86,5,0,0
7.3,81,9,0,0
6.9,85,9,0,1
7.1,133,7,0,1
9.1,80,8,1,1
7.2,107,6,1,1
8.9,81,8,1,1
6.2,111,7,0,0
7.2,135,10,1,1
7.0,123,4,0,1
8.6,141,7,1,1
5.4,139,5,0,1
8.6,100,7,1,1
5.8,139,9,1,1
8.1,90,5,0,1
7.2,99,6,0,1
6.4,90,4,1,1
6.5,142,10,1,1
8.7,82,7,0,0
9.4,90,6,0,0
8.6,141,8,0,1
5.9,113,5,0,1
9.5,119,8,1,1
9.1,140,4,1,1
9.7,103,10,1,1
9.0,81,7,1,1
7.5,112,9,0,0
6.1,84,6,0,0
7.5,123,6,0,1
6.2,136,6,1,1
8.7,116,7,0,1
8.3,106,9,1,1
8.4,83,6,0,0
8.5,107,10,1,1
6.1,84,7,1,1
5.4,126,9,0,1
9.3,85,4,1,1
9.8,122,8,0,1
6.8,87,5,0,0
5.1,81,10,0,1
6.7,129,7,1,1
7.6,92,7,0,1
7.0,116,4,0,1
6.5,135,7,0,1
8.4,141,8,0,1
9.0,132,5,1,1
8.8,97,6,0,0
5.6,103,7,0,0
5.4,139,8,1,0
8.7,82,10,1,1
6.9,116,6,0,0
5.2,138,8,0,0
8.1,106,7,0,1
8.7,135,6,1,1
8.9,130,7,0,1
7.3,94,7,0,0
7.7,126,7,0,1
7.4,123,6,1,1
8.6,136,10,0,1
9.2,136,6,1,1
5.8,102,6,1,0
8.2,131,6,0,1
7.4,119,5,0,1
7.5,102,5,0,0
6.9,94,9,0,1
5.9,141,9,0,1
7.2,126,7,0,1
7.5,88,10,1,1
6.8,80,10,1,1
6.2,88,9,1,1
7.6,111,5,1,1
7.3,87,5,0,0
9.5,125,5,0,1
5.9,128,5,1,1
9.1,100,7,0,0
7.3,125,8,1,1
7.8,132,8,0,1
8.5,112,5,1,1
9.9,125,7,1,1
5.2,124,5,1,1
7.9,125,8,1,1
5.7,90,5,1,1
8.1,129,5,1,1
6.6,96,9,1,1
8.8,90,6,1,1
5.3,97,6,0,1
5.1,111,10,0,1
6.7,108,5,0,1
7.2,88,6,1,1
6.3,95,7,0,0
5.4,145,7,0,1
9.4,95,5,0,1
5.2,111,8,0,1
7.1,124,5,0,1
5.4,89,7,1,0
10.0,128,5,1,1
9.7,100,5,1,0
7.3,106,9,0,0
5.3,144,6,0,1
5.5,124,4,1,0
7.2,81,4,1,1
8.3,84,9,0,1
9.7,124,5,1,1
6.7,144,5,0,1
5.8,88,7,1,1
7.9,82,10,1,1
6.3,106,7,1,1
6.8,103,6,0,0
7.0,130,8,0,1
6.3,105,7,1,0
7.4,113,8,0,0
6.6,144,4,0,1
6.7,111,6,0,1
7.3,100,9,0,1
7.1,96,5,1,1
5.0,126,6,0,0
9.8,91,5,1,1
9.1,131,7,1,1
9.1,138,5,1,1
8.8,117,5,1,1
5.7,130,6,1,1
7.9,130,9,1,1
5.6,143,9,0,0
6.2,83,9,0,0
8.7,110,7,0,1
6.8,112,6,1,0
8.8,100,7,0,0
9.8,98,7,1,1
5.9,112,4,0,0
7.8,82,9,0,1
5.5,115,5,1,1
9.2,87,7,0,0
9.9,99,10,0,1
6.0,111,9,1,1
5.5,95,9,0,0
9.4,101,7,1,1
8.8,126,9,0,1
9.6,118,5,0,1
9.4,145,9,0,1
6.2,116,5,1,0
8.9,132,10,1,1
5.5,141,6,0,1
7.5,136,4,1,1
9.3,85,9,0,1
8.6,130,9,0,1
5.9,95,8,0,0
9.7,84,7,1,0
5.4,113,5,0,0
5.2,120,9,1,1
6.5,118,5,0,0
7.2,124,6,1,1
7.7,132,8,0,1
6.8,100,9,1,1
5.4,139,4,0,0
9.3,109,9,1,1
9.0,112,4,1,1
8.9,136,5,1,1
7.8,107,5,1,0
6.9,103,5,1,1
7.2,133,6,1,1
6.4,121,8,0,1
5.1,117,6,0,0
9.0,82,7,0,1
6.3,110,7,0,1
6.4,145,9,1,1
7.1,126,4,0,0
6.7,128,5,1,1
7.4,105,7,0,1
5.9,96,9,0,1
8.7,93,8,0,0
7.2,137,8,0,1
8.1,131,5,0,1
5.6,133,9,0,0
7.0,100,9,1,1
9.9,96,10,1,1
9.5,112,5,0,1
9.5,121,5,0,1
8.5,94,10,1,1
9.0,97,8,1,1
5.1,106,5,0,1
6.9,81,7,1,1
9.1,132,10,0,1
8.1,94,9,1,1
5.1,116,9,0,1
9.6,132,6,0,1
9.8,89,10,0,1
10.0,113,6,1,1
9.7,126,8,1,1
9.3,116,10,0,1
6.1,101,4,1,1
5.7,90,9,0,0
7.2,126,4,1,1
8.3,131,6,1,1
8.4,109,9,0,0
6.7,121,8,0,1
7.1,136,10,0,1
9.5,84,5,0,1
9.7,111,7,1,1
5.6,133,7,0,1
6.5,104,8,0,1
9.9,102,5,0,1
5.3,82,9,1,1
9.6,103,10,0,1
8.2,145,5,1,1
9.0,122,6,1,1
6.7,119,5,0,0
5.4,133,8,0,1
5.5,115,5,0,0
6.2,80,6,1,0
6.6,124,7,1,1
8.2,142,6,0,1
6.8,131,5,0,1
8.7,117,7,1,1
8.7,123,4,1,1
5.8,102,7,1,0
5.9,103,9,0,0
6.9,83,6,0,0
8.2,113,10,1,1
7.6,132,7,1,1
6.9,120,5,0,1
7.5,95,5,0,0
6.7,101,6,1,1
5.5,110,5,1,1
5.6,105,9,0,0
8.1,135,6,0,1
7.0,128,6,1,1
9.5,102,6,0,1
9.9,126,5,1,1
5.7,105,5,0,0
6.8,133,6,1,1
6.1,115,7,0,0
6.5,103,5,0,1
9.7,95,5,0,0
5.2,120,9,1,1
6.9,98,6,1,0
7.5,134,8,0,1
6.6,126,9,0,1
7.7,113,5,0,1
5.6,97,7,1,1
7.2,142,7,0,1
5.3,119,5,0,0
5.4,123,7,1,1
8.2,87,8,0,0
5.2,136,7,0,1
6.8,85,7,0,0
8.3,85,5,0,0
5.7,137,10,0,1
8.5,97,4,1,0
7.4,138,9,0,1
6.3,111,7,0,1
7.5,141,7,0,1
7.0,98,4,0,0
6.9,110,8,0,0
9.7,86,9,0,1
5.1,123,6,1,1
9.2,90,5,0,1
6.1,123,5,0,0
7.1,92,10,1,1
7.2,98,5,0,1
8.8,121,9,1,1
6.5,117,9,1,1
9.9,138,8,1,1
9.8,130,9,0,1
8.7,144,9,1,1
5.3,105,4,0,0
6.0,86,9,0,1
8.5,142,9,0,1
8.9,129,7,0,1
10.0,81,8,1,1
10.0,135,10,0,1
10.0,107,10,0,1
6.6,85,7,1,1
6.0,145,10,0,1
9.0,140,8,1,1
6.0,83,9,1,1
8.6,144,5,0,1
5.9,97,8,0,1
7.3,110,4,0,0
5.9,123,9,0,0
6.6,143,9,0,1
7.1,145,6,0,1
8.2,143,4,1,1
5.7,82,7,1,1
5.8,127,6,0,1
6.2,120,10,0,0
7.2,102,8,0,1
6.4,125,4,1,1
6.1,135,9,0,1
5.5,111,8,0,1
5.2,130,9,0,0
8.5,92,6,0,1
9.8,108,5,1,1
7.8,90,7,0,0
5.3,101,6,1,1
7.8,135,6,1,1
9.1,87,8,1,1
6.5,142,9,0,0
5.0,137,10,0,1
9.9,98,4,1,1
5.7,95,8,0,0
8.1,84,10,1,1
5.5,88,4,0,0
8.2,139,9,0,1
6.6,144,5,1,1
5.2,87,7,0,0
5.5,143,9,1,1
8.5,92,8,0,0
7.0,113,5,0,1
5.8,143,6,0,0
5.4,128,6,0,0
7.5,111,7,0,1
